Ticker,Company,Sector,Industry,Country,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Return on Assets,Return on Equity,Return on Investment,Gross Margin,Operating Margin,Profit Margin,Performance (Quarter),Performance (Half Year),Performance (Year),Beta,Volatility (Week),Volatility (Month),50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Price
EVHC,"Envision Healthcare Holdings, Inc.",Healthcare,Long-Term Care Facilities,USA,190.26,24.46,7.52,1.71,4.03,34.55,,,0.00%,0.19,-87.10%,26.00%,-28.20%,25.31%,9.10%,533.30%,14.20%,0.80%,2.60%,6.00%,,7.50%,0.90%,5.03%,7.85%,43.74%,,1.26%,2.07%,1.64%,7.71%,-4.92%,7.72%,-4.92%,44.02%,53.42,36.15
EW,Edwards Lifesciences Corp.,Healthcare,Medical Appliances & Equipment,USA,14.04,26.07,1.02,4.9,5.43,7.03,9.6,,0.00%,7.01,38.70%,14.85%,25.60%,13.70%,10.60%,528.40%,11.20%,27.10%,48.70%,18.20%,73.10%,20.50%,35.70%,21.84%,42.83%,36.11%,0.57,1.20%,1.64%,11.06%,29.53%,-0.54%,25.97%,-0.54%,62.34%,73.47,98.41
EXC,Exelon Corporation,Utilities,Diversified Utilities,USA,15.35,12.84,11.18,1.07,1.23,30.45,,3.83%,58.80%,2.11,40.80%,5.92%,-13.40%,1.37%,5.70%,6.50%,19.00%,2.30%,8.20%,6.10%,53.60%,13.30%,7.00%,-4.23%,8.58%,9.76%,0.5,1.17%,1.74%,-2.21%,4.17%,-12.24%,6.70%,-13.32%,26.06%,53.14,32.39
EXPD,Expeditors International of Washington Inc.,Services,Air Delivery & Freight Services,USA,23.8,19.87,2.93,1.29,4.29,7.65,38.8,1.55%,24.00%,1.74,7.00%,12.28%,4.20%,8.13%,1.50%,2.20%,6.40%,17.50%,25.80%,15.80%,30.60%,8.90%,8.40%,-9.11%,-0.72%,1.79%,1.18,1.41%,1.63%,-4.90%,-2.00%,-9.52%,3.63%,-10.88%,8.57%,43.19,41.42
EXPE,Expedia Inc.,Services,Lodging,USA,35.18,18.62,2.08,2.11,6.02,4.68,16.94,0.69%,23.40%,2.48,-22.70%,18.07%,15.90%,16.92%,10.20%,31.40%,24.00%,4.00%,16.60%,8.30%,78.70%,9.60%,6.50%,22.46%,10.51%,89.53%,0.93,1.39%,2.11%,8.08%,20.41%,-0.09%,19.07%,-0.09%,91.97%,68.86,87.24
EXR,Extra Space Storage Inc.,Financial,REIT - Industrial,USA,33.18,32.05,5.67,10.55,3.56,114.99,,3.52%,102.50%,1.61,34.20%,11.13%,26.60%,5.85%,13.80%,20.00%,26.90%,4.70%,10.90%,5.20%,71.40%,43.50%,31.50%,3.73%,14.27%,31.67%,1.02,1.21%,1.30%,0.38%,11.48%,-2.64%,4.03%,-2.64%,38.48%,50.47,53.42
F,Ford Motor Co.,Consumer Goods,Auto Manufacturers - Major,USA,10.53,8.92,0.86,0.46,2.53,5.75,27.74,2.91%,26.90%,1.63,23.90%,44.95%,17.80%,12.23%,0.50%,6.70%,-1.80%,3.20%,26.40%,3.90%,12.70%,3.30%,4.50%,7.92%,14.77%,7.65%,1.48,1.02%,1.57%,0.01%,6.93%,-4.55%,5.58%,-4.55%,21.07%,46.87,17.17
FAST,Fastenal Company,Services,Industrial Equipment Wholesale,USA,29.43,23.59,1.84,3.87,7.24,127.24,,2.19%,64.50%,1.55,6.30%,16.16%,9.90%,16.00%,7.30%,7.30%,12.10%,21.50%,25.60%,25.30%,51.00%,20.90%,13.20%,-5.33%,0.22%,3.00%,1.06,1.29%,1.54%,-1.95%,-2.98%,-8.94%,5.09%,-11.70%,8.54%,52.91,45.62
FB,"Facebook, Inc.",Technology,Internet Information Providers,USA,81.05,36.92,2.18,19.36,10.4,13.89,60.44,,0.00%,0.92,84.10%,24.92%,85.60%,37.15%,96.00%,130.80%,60.50%,13.00%,14.90%,9.70%,80.70%,43.30%,23.70%,21.55%,5.35%,93.44%,,1.17%,1.66%,7.28%,21.08%,-2.83%,19.87%,-2.83%,94.50%,59.36,74.57
FBHS,"Fortune Brands Home & Security, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,28.1,17.66,1.06,1.58,2.81,47.29,194.8,1.11%,33.80%,1.54,88.70%,28.34%,18.40%,26.40%,2.00%,48.60%,9.80%,6.30%,10.10%,7.90%,34.20%,9.80%,6.10%,7.48%,-2.72%,12.86%,,1.85%,2.22%,9.48%,3.33%,-0.76%,18.06%,-9.19%,19.95%,74.33,43.27
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,15.12,12.8,0.4,1.68,1.77,25.97,,3.43%,51.70%,2.41,-17.20%,17.99%,16.80%,37.76%,3.30%,-6.10%,28.80%,4.00%,12.00%,9.20%,29.10%,25.90%,11.20%,6.71%,11.68%,20.46%,2.09,1.28%,1.56%,-1.04%,6.02%,-6.68%,10.01%,-6.68%,25.46%,46.97,36.44
FDO,Family Dollar Stores Inc.,Services,"Discount, Variety Stores",USA,25.95,24.01,6.04,0.87,5.48,49.96,,1.56%,35.40%,3.07,7.00%,7.34%,18.20%,4.30%,8.30%,-32.40%,3.30%,9.00%,22.00%,20.80%,34.20%,5.50%,3.40%,41.28%,21.58%,11.68%,0.31,0.75%,1.58%,14.95%,24.63%,-0.54%,33.21%,-0.54%,43.85%,71.62,79.67
FDS,FactSet Research Systems Inc.,Technology,Information & Delivery Services,USA,26.57,22.83,2.24,5.93,10.39,44.94,27.68,1.23%,29.80%,4.78,8.00%,13.07%,12.20%,11.86%,8.30%,0.80%,8.00%,31.00%,39.00%,36.40%,62.10%,32.60%,23.00%,16.64%,21.85%,21.43%,0.96,0.93%,1.21%,5.47%,15.05%,-0.76%,13.84%,-0.76%,26.91%,71.32,127
FDX,FedEx Corporation,Services,Air Delivery & Freight Services,USA,22.04,14.04,1.45,0.94,2.9,14.67,78.42,0.54%,8.80%,6.78,37.20%,20.88%,85.20%,15.18%,5.10%,157.90%,3.50%,6.30%,12.70%,11.30%,26.20%,7.60%,4.60%,5.77%,11.10%,35.80%,1.37,0.75%,1.24%,0.10%,6.82%,-3.77%,8.07%,-3.77%,41.01%,49.46,149.46
FE,FirstEnergy Corp.,Utilities,Electric Utilities,USA,26.04,11.24,,0.91,1.1,184.35,,4.32%,120.50%,1.28,-50.60%,19.03%,-27.30%,-0.37%,1.80%,137.50%,-0.30%,1.20%,5.00%,3.80%,69.50%,11.30%,4.10%,7.10%,7.55%,-8.33%,0.3,1.09%,1.82%,2.28%,3.82%,-5.26%,11.17%,-11.37%,14.10%,60.1,33.33
FFIV,"F5 Networks, Inc.",Technology,Business Software & Services,USA,31.93,19.51,2.08,5.42,6.5,14.74,17.79,,0.00%,3.81,1.40%,16.50%,31.50%,15.38%,17.90%,22.10%,18.90%,13.40%,20.20%,17.50%,82.30%,28.50%,17.60%,12.89%,8.69%,38.72%,1.8,2.33%,2.36%,8.08%,17.53%,-1.58%,14.14%,-1.58%,55.67%,66.77,121.64
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,28.43,16.34,2.37,2.63,2.5,13.22,30.06,1.68%,45.50%,2.01,-8.20%,12.84%,22.30%,12.00%,12.60%,100.00%,5.70%,4.00%,8.80%,6.80%,32.40%,18.30%,9.30%,7.53%,5.00%,27.03%,0.83,1.02%,1.13%,2.81%,7.53%,-0.87%,6.96%,-0.87%,32.05%,62.6,57.14
FISV,"Fiserv, Inc.",Services,Business Services,USA,23.27,17.12,2.02,3.23,4.61,48.65,17.27,,0.00%,2.76,13.50%,11.74%,17.30%,11.50%,1.00%,15.80%,4.60%,7.50%,20.50%,9.90%,43.30%,23.30%,14.40%,7.35%,11.59%,29.60%,1,0.95%,1.14%,4.43%,9.99%,-0.37%,8.51%,-0.37%,38.59%,71.61,64.23
FITB,Fifth Third Bancorp,Financial,Regional - Midwest Banks,USA,11.55,11.24,16.26,4.24,1.21,2.8,,2.56%,27.00%,1.76,21.70%,5.06%,20.50%,0.71%,-6.70%,-24.60%,2.40%,1.20%,11.00%,11.00%,,63.70%,38.10%,-0.49%,-4.91%,8.49%,1.23,1.34%,1.56%,-2.16%,-2.72%,-6.75%,4.47%,-14.02%,18.14%,52.11,20.32
FL,"Foot Locker, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,17.74,14.9,1.67,1.16,3.04,7.78,34.65,1.63%,26.60%,3.05,10.50%,10.06%,50.00%,10.60%,4.40%,22.20%,14.00%,12.80%,18.20%,16.50%,32.90%,10.50%,6.70%,11.13%,35.03%,62.42%,1.19,2.25%,2.10%,9.07%,22.73%,2.21%,14.88%,2.21%,73.11%,71.38,54.12
FLR,Fluor Corporation,Industrial Goods,Heavy Construction,USA,18.48,14.57,1.43,0.49,3.21,4.97,21.13,1.14%,21.10%,4,49.80%,19.65%,0.90%,12.94%,4.10%,4.10%,-27.00%,6.80%,15.20%,19.20%,5.70%,4.80%,2.40%,0.04%,-5.82%,12.66%,1.6,1.11%,1.74%,-2.49%,-3.54%,-6.65%,4.39%,-11.43%,17.91%,49.14,73.93
FLS,Flowserve Corp.,Industrial Goods,Diversified Machinery,USA,21.07,17.06,1.5,2.11,5.35,72.06,34.84,0.85%,16.10%,3.59,20.10%,13.93%,5.80%,14.03%,2.10%,-41.20%,-47.60%,10.30%,26.70%,18.10%,34.60%,15.40%,10.20%,1.75%,-6.80%,32.75%,1.9,1.33%,1.62%,1.41%,1.09%,-4.02%,6.15%,-7.64%,37.08%,56.06,75.64
FLT,"FleetCor Technologies, Inc.",Services,Business Services,USA,40.69,24.77,3.39,12.23,8.33,41.43,28.78,,0.00%,3.64,33.30%,17.51%,20.00%,12.00%,21.30%,18.40%,23.80%,7.90%,23.60%,12.70%,92.80%,46.20%,30.80%,18.17%,19.02%,43.63%,1.22,1.47%,2.22%,10.75%,21.56%,-1.21%,18.46%,-1.21%,52.74%,71.8,148.11
FMC,FMC Corp.,Basic Materials,Chemicals - Major Diversified,USA,20.05,12.86,1.71,2.17,5.09,76.12,,0.92%,34.80%,3.26,4.40%,21.25%,9.00%,11.72%,4.50%,5.90%,12.80%,4.30%,14.10%,15.10%,33.50%,17.30%,5.40%,-13.52%,-9.25%,-1.31%,1.17,1.07%,1.42%,-5.41%,-10.76%,-16.02%,2.05%,-21.81%,2.05%,38.48,65.36
FNF,"Fidelity National Financial, Inc.",Financial,Surety & Title Insurance,USA,26.29,12.98,1.74,0.91,1.31,7,,2.54%,64.20%,1.08,-35.00%,21.89%,31.60%,15.10%,16.80%,-33.90%,3.50%,2.10%,5.00%,8.40%,,5.80%,3.10%,5.19%,5.54%,45.59%,0.74,1.18%,1.57%,2.97%,8.86%,-1.76%,7.95%,-1.76%,49.55%,62.96,28.39
FOSL,"Fossil Group, Inc.",Consumer Goods,"Recreational Goods, Other",USA,15.87,12.73,1.33,1.58,5.43,19.9,17.35,,0.00%,6.46,17.40%,12.18%,26.60%,11.90%,15.50%,-14.80%,9.60%,16.60%,34.60%,24.60%,57.30%,16.10%,10.40%,0.81%,-14.15%,-12.97%,1.75,1.69%,2.48%,0.29%,-8.56%,-5.13%,7.65%,-24.04%,7.65%,55.96,102.54
FOXA,"Twenty-First Century Fox, Inc.",Services,Entertainment - Diversified,USA,21.37,15.72,2.37,2.42,4.56,14.27,37.41,0.70%,25.10%,1.67,-42.60%,33.12%,26.90%,9.00%,0.90%,2.40%,16.80%,8.30%,25.90%,10.70%,33.80%,17.40%,14.20%,2.12%,7.99%,12.09%,1.19,1.21%,1.79%,3.77%,6.54%,-1.52%,14.13%,-2.03%,16.79%,64.47,35.69
FRC,First Republic Bank,Financial,Money Center Banks,USA,16.4,16.16,1.62,4.43,1.81,1.87,13.94,1.15%,16.20%,2.98,12.70%,2.54%,107.80%,10.10%,8.60%,0.00%,11.30%,0.90%,11.90%,11.60%,,52.60%,28.80%,-4.74%,-5.09%,7.74%,1.4,1.67%,1.59%,-3.09%,-4.38%,-12.23%,7.40%,-12.76%,13.55%,54.84,48.87
FRT,Federal Realty Investment Trust,Financial,REIT - Retail,USA,58.5,44.86,9.07,12.96,5.63,111.47,,2.50%,99.30%,2.13,-10.70%,14.27%,1.40%,6.45%,4.20%,9.60%,8.70%,4.70%,14.10%,6.40%,69.40%,39.20%,30.60%,4.91%,13.83%,28.90%,0.6,1.17%,1.14%,1.92%,10.75%,-1.42%,6.12%,-1.42%,33.80%,57.81,124.61
FSL,"Freescale Semiconductor, Ltd.",Technology,Semiconductor - Broad Line,USA,,10.42,,1.41,,8.5,140.55,,,-0.17,-97.60%,32.47%,52.40%,15.00%,-4.30%,212.00%,14.70%,-1.00%,0.80%,14.50%,44.40%,14.90%,-0.70%,-5.79%,-7.10%,46.31%,,2.04%,2.83%,-5.88%,2.87%,-15.40%,10.39%,-19.92%,51.42%,51.04,20.82
FSLR,"First Solar, Inc.",Technology,Semiconductor - Specialized,USA,18.89,15.42,,2,1.51,5.23,,,0.00%,3.73,433.30%,75.60%,-2.70%,-0.70%,21.60%,-89.20%,4.70%,5.60%,8.30%,7.30%,25.00%,13.90%,10.70%,16.14%,22.01%,80.57%,1.95,1.79%,2.85%,5.61%,14.55%,-3.05%,17.14%,-5.85%,97.98%,62.91,70.46
FTI,"FMC Technologies, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,21.83,17.5,1.18,1.86,5.4,36.89,33.39,,0.00%,2.75,18.00%,22.23%,9.10%,18.55%,9.40%,115.90%,16.20%,9.90%,27.70%,14.60%,23.40%,12.20%,8.60%,5.85%,18.50%,9.70%,1.27,1.67%,2.03%,-1.08%,10.11%,-6.09%,2.58%,-6.09%,26.17%,45.22,60.03
FTR,Frontier Communications Corporation,Technology,Telecom Services - Domestic,USA,37.11,31.81,,1.43,1.69,8.35,15.03,5.99%,210.50%,0.18,-15.40%,4.48%,-28.00%,,16.30%,200.00%,-3.60%,1.10%,4.50%,6.40%,90.80%,20.70%,3.80%,16.99%,51.13%,61.35%,0.68,1.62%,2.71%,10.34%,27.32%,-7.73%,22.79%,-7.73%,73.27%,65.25,6.68
GAS,AGL Resources Inc.,Utilities,Gas Utilities,USA,13.84,16.63,3.46,1.14,1.6,18.12,,3.75%,50.00%,3.78,14.70%,-29.17%,-1.30%,4.00%,10.50%,86.30%,50.00%,3.10%,12.30%,5.70%,48.60%,17.90%,8.20%,-0.29%,14.46%,21.14%,0.48,1.12%,1.84%,-0.83%,6.97%,-4.47%,8.43%,-4.47%,27.01%,52.73,52.32
GCI,"Gannett Co., Inc.",Services,Publishing - Newspapers,USA,18.06,13.88,1.81,1.4,2.69,17.79,22.43,2.36%,41.50%,1.88,-7.30%,-8.11%,15.50%,10.00%,-4.90%,87.50%,12.10%,5.10%,16.30%,9.80%,45.70%,17.00%,8.00%,21.95%,16.75%,38.57%,1.56,1.28%,2.13%,5.70%,18.52%,-4.90%,18.96%,-4.90%,46.06%,56.54,33.95
GD,General Dynamics Corp.,Industrial Goods,Aerospace/Defense Products & Services,USA,17.15,15.34,2.12,1.35,3.18,10.78,19.75,2.00%,34.60%,7.22,847.90%,6.97%,2.50%,8.08%,1.30%,3.90%,-4.60%,6.40%,16.60%,13.90%,18.70%,12.10%,7.30%,7.81%,15.16%,50.07%,1.14,1.09%,1.35%,4.98%,16.77%,-0.32%,8.60%,-0.32%,54.23%,70.28,123.85
GE,General Electric Company,Industrial Goods,Diversified Machinery,USA,17.91,14.33,2.5,1.79,1.96,3.03,48.1,3.37%,64.10%,1.46,6.50%,8.76%,-3.80%,7.16%,-4.30%,12.90%,3.30%,2.00%,10.00%,3.20%,39.50%,11.30%,8.80%,-0.53%,4.27%,13.60%,1.46,0.87%,1.24%,-0.10%,0.47%,-3.68%,5.66%,-5.32%,17.88%,54.16,26.15
GGP,"General Growth Properties, Inc",Financial,REIT - Retail,USA,110.14,53.14,11.44,8.48,2.92,88.49,,2.48%,129.50%,0.22,160.00%,-6.17%,25.50%,9.63%,-3.70%,-76.20%,3.00%,1.50%,5.10%,3.30%,67.60%,34.90%,15.50%,3.72%,9.54%,29.16%,2.06,0.93%,1.32%,2.12%,10.12%,-1.50%,5.72%,-1.50%,33.27%,58.51,24.23
GILD,Gilead Sciences Inc.,Healthcare,Biotechnology,USA,23.36,11.15,0.95,9.01,9.9,17.86,22.87,,0.00%,4.45,10.40%,16.25%,11.90%,24.67%,16.00%,378.30%,136.10%,28.60%,57.70%,18.70%,81.20%,56.20%,42.80%,28.44%,24.40%,73.47%,0.73,1.93%,1.82%,16.86%,30.86%,1.36%,31.88%,1.36%,77.71%,83.89,103.96
GIS,"General Mills, Inc.",Consumer Goods,Processed & Packaged Goods,USA,18.69,16.35,2.72,1.8,4.96,37.08,35.96,3.11%,53.40%,2.82,1.40%,6.93%,8.30%,6.88%,4.20%,16.40%,-2.90%,7.90%,27.70%,13.50%,35.70%,16.30%,10.20%,-1.29%,7.40%,10.32%,0.14,1.01%,1.21%,-0.01%,3.74%,-3.53%,5.13%,-4.54%,14.84%,54.18,52.71
GLW,Corning Inc.,Technology,Diversified Electronics,USA,23.08,12.8,1.63,3.02,1.37,4.51,10.11,1.95%,44.40%,0.89,22.90%,10.54%,-16.60%,14.20%,5.60%,-74.40%,25.20%,4.30%,6.10%,3.50%,41.40%,17.40%,14.30%,-3.25%,7.43%,43.74%,1.74,1.61%,1.79%,-3.12%,5.12%,-8.18%,5.01%,-8.18%,51.00%,47.42,20.54
GM,General Motors Company,Consumer Goods,Auto Manufacturers - Major,USA,27.61,7.57,1.72,0.35,1.42,1.84,20.84,3.50%,17.60%,1.24,-18.50%,66.31%,15.40%,16.10%,0.90%,-85.30%,1.50%,2.80%,13.10%,3.70%,9.40%,3.20%,3.10%,2.67%,-4.70%,-0.47%,1.71,1.10%,1.57%,-4.38%,-4.99%,-10.25%,4.39%,-16.76%,8.90%,43.13,34.24
GMCR,"Keurig Green Mountain, Inc.",Consumer Goods,Processed & Packaged Goods,USA,35.95,33.03,2.21,4.75,6.34,17.99,39.71,0.75%,13.30%,3.71,38.60%,6.46%,75.50%,16.25%,54.70%,23.70%,5.70%,14.20%,19.50%,17.60%,38.20%,19.70%,12.80%,17.19%,10.24%,62.42%,0.41,2.90%,2.38%,10.90%,33.63%,3.78%,18.26%,3.78%,136.25%,77.18,133.36
GNW,"Genworth Financial, Inc.",Financial,Life Insurance,USA,10.36,8.89,2.07,0.73,0.42,1.67,5.18,,0.00%,1.34,113.00%,21.48%,22.50%,5.00%,-1.10%,29.60%,1.70%,0.60%,4.50%,5.60%,,24.00%,7.10%,-19.68%,-9.58%,13.12%,1.81,1.95%,2.58%,-11.95%,-13.97%,-22.24%,9.81%,-25.93%,20.17%,40.94,13.88
GOOGL,Google Inc.,Technology,Internet Information Providers,USA,30.05,18.77,1.8,6.29,4.18,6.49,37.32,,0.00%,19.72,11.00%,19.40%,22.00%,16.70%,22.40%,23.90%,21.70%,11.60%,14.80%,12.60%,58.90%,24.90%,20.90%,5.10%,-2.36%,35.50%,1.17,0.85%,1.38%,1.56%,4.93%,-2.69%,8.23%,-3.66%,40.44%,54.54,592.54
GPC,Genuine Parts Company,Services,"Specialty Retail, Other",USA,20.06,17.69,3.18,0.91,3.82,87.96,26.58,2.62%,50.50%,4.38,6.30%,8.00%,8.50%,6.30%,5.00%,-7.90%,6.30%,8.50%,20.20%,16.90%,30.20%,7.30%,4.60%,3.57%,2.19%,13.72%,0.74,1.08%,1.21%,2.24%,4.66%,-2.28%,6.94%,-2.28%,17.88%,65.26,87.85
GPRO,"GoPro, Inc.",Services,Research Services,USA,149.28,44.13,4.38,4.97,75.95,52,,,0.00%,0.29,155.40%,23.71%,0.00%,34.10%,,68.40%,4.50%,13.30%,301.30%,62.80%,40.20%,9.60%,3.60%,,,,,4.21%,4.75%,5.39%,5.39%,-13.25%,51.10%,-13.25%,51.10%,,43.29
GPS,"The Gap, Inc.",Services,Apparel Stores,USA,17.41,13.63,1.34,1.24,6.66,12.97,24.06,1.94%,29.20%,2.61,17.60%,12.72%,15.40%,12.98%,2.10%,-18.30%,1.20%,15.40%,38.60%,30.00%,38.40%,12.70%,7.50%,11.02%,6.97%,10.40%,1.28,1.51%,1.53%,10.79%,13.22%,4.73%,16.55%,2.97%,27.72%,79.04,45.43
GRA,W.R. Grace & Co.,Basic Materials,Specialty Chemicals,USA,24.94,18.11,1.41,2.37,13.44,26.1,,,0.00%,3.97,534.60%,22.49%,14.50%,17.70%,-1.60%,52.60%,4.40%,6.60%,53.80%,14.20%,37.20%,18.70%,9.80%,6.70%,-1.11%,23.56%,1.65,1.36%,1.58%,4.07%,3.30%,-0.78%,9.06%,-5.73%,25.35%,61.63,99.03
GS,"The Goldman Sachs Group, Inc.",Financial,Investment Brokerage - National,USA,11.25,10.21,1.38,1.92,1.12,0.85,,1.25%,13.20%,15.6,9.40%,3.89%,56.20%,8.14%,103.00%,10.80%,2.40%,0.80%,10.60%,2.00%,76.20%,32.50%,18.80%,9.93%,6.08%,11.55%,1.6,1.11%,1.28%,2.99%,5.68%,-1.13%,8.63%,-2.47%,17.12%,60.83,175.47
GT,The Goodyear Tire & Rubber Company,Consumer Goods,Rubber & Plastics,USA,12.92,8.18,1.17,0.36,3.79,4.22,,0.80%,7.00%,1.94,193.20%,7.13%,54.40%,11.00%,0.10%,18.80%,-4.90%,3.20%,49.10%,15.40%,22.40%,7.50%,2.90%,-1.99%,-4.79%,34.21%,2.03,1.86%,2.69%,-5.73%,-0.17%,-12.46%,4.94%,-12.46%,38.23%,41.92,25.07
GWR,Genesee & Wyoming Inc.,Services,Railroads,USA,24.82,18.97,2.32,3.33,2.38,159.79,35.39,,0.00%,3.95,405.30%,22.89%,18.90%,10.70%,21.10%,-6.10%,3.50%,4.20%,10.30%,8.90%,73.70%,23.90%,14.20%,1.67%,-0.36%,9.46%,1.28,1.15%,1.67%,-2.85%,1.00%,-7.52%,5.71%,-7.52%,14.01%,49.36,98.05
GWW,"W.W. Grainger, Inc.",Services,Industrial Equipment Wholesale,USA,22.06,17.53,1.68,1.75,5.03,50.94,54.49,1.75%,34.20%,11.2,16.90%,13.22%,13.30%,13.10%,6.60%,-50.80%,-46.20%,14.80%,23.70%,21.50%,43.60%,13.80%,8.10%,-2.00%,-0.95%,-0.11%,0.96,1.39%,1.44%,0.61%,-1.03%,-6.36%,7.33%,-9.15%,9.66%,61.23,247.02
H,Hyatt Hotels Corporation,Services,Lodging,USA,43.95,43.57,2.93,2.16,1.98,16.1,33.05,,0.00%,1.39,145.30%,27.80%,24.20%,15.00%,1.70%,-31.40%,6.00%,2.70%,4.60%,1.40%,22.00%,6.30%,5.00%,3.72%,16.52%,36.27%,1.3,1.35%,1.63%,0.93%,12.44%,-3.48%,7.99%,-3.48%,42.67%,56.98,61.09
HAL,Halliburton Company,Basic Materials,Oil & Gas Equipment & Services,USA,20.2,12.65,0.97,1.88,3.92,24.32,34.78,0.89%,17.10%,3.34,-16.20%,31.54%,-4.30%,20.80%,10.00%,31.90%,10.00%,9.90%,21.20%,11.60%,15.60%,14.50%,9.50%,5.65%,20.29%,42.58%,1.61,1.30%,2.03%,-3.29%,13.51%,-9.23%,2.17%,-9.23%,45.04%,41.4,67.47
HAR,"Harman International Industries, Incorporated",Consumer Goods,Electronic Equipment,USA,34.57,16.73,1.96,1.48,4.48,13.61,22.49,1.03%,35.30%,3.36,64.70%,32.11%,19.80%,17.67%,13.40%,675.00%,22.20%,6.40%,13.60%,10.90%,27.20%,6.20%,4.40%,8.28%,10.49%,72.26%,1.67,1.46%,2.39%,5.33%,16.24%,-1.76%,14.10%,-1.76%,84.94%,62.29,116.17
HAS,Hasbro Inc.,Consumer Goods,Toys & Games,USA,21.59,14.63,2.07,1.61,4.68,11.41,,3.28%,66.90%,2.43,-14.90%,10.58%,1.60%,10.45%,0.30%,-7.10%,8.20%,7.50%,20.60%,13.00%,58.50%,12.20%,7.70%,-1.72%,-2.11%,19.66%,0.97,1.48%,1.66%,1.29%,0.28%,-3.77%,9.29%,-6.29%,21.18%,61.32,52.47
HBAN,Huntington Bancshares Incorporated,Financial,Regional - Midwest Banks,USA,13.3,12.27,1.9,4.23,1.38,6.01,,2.03%,26.70%,0.74,1.40%,8.67%,29.50%,7.00%,-7.80%,11.80%,7.10%,1.00%,10.80%,17.00%,,48.10%,32.60%,8.73%,7.31%,16.59%,1.08,1.30%,1.52%,2.01%,4.89%,-1.70%,5.92%,-3.90%,24.38%,58.62,9.84
HBI,Hanesbrands Inc.,Consumer Goods,Textile - Apparel Clothing,USA,29.39,16.6,2,2.08,7.43,70.76,23.82,1.18%,22.70%,3.47,40.10%,13.97%,19.40%,14.67%,1.70%,26.90%,11.90%,8.50%,28.30%,15.40%,35.00%,10.80%,7.20%,21.65%,38.10%,69.19%,1.05,1.73%,1.80%,6.07%,29.02%,-4.05%,21.00%,-4.05%,77.89%,63.91,101.99
HCA,"HCA Holdings, Inc.",Healthcare,Hospitals,USA,19.56,14.62,1.42,0.85,,45.51,16.22,,0.00%,3.54,-3.40%,12.63%,13.46%,13.75%,3.80%,17.60%,9.20%,5.50%,-19.90%,19.00%,82.80%,14.50%,4.60%,29.60%,37.50%,79.90%,1.59,1.48%,2.05%,13.59%,32.27%,0.10%,29.19%,0.10%,82.31%,71.95,69.26
HCBK,"Hudson City Bancorp, Inc.",Financial,Savings & Loans,USA,28.71,47.61,2.31,4.1,1.01,0.89,31.66,1.64%,45.70%,0.34,-26.00%,-21.15%,-16.30%,12.40%,-12.50%,-20.00%,-13.90%,0.40%,3.60%,9.60%,,43.50%,13.50%,0.00%,5.40%,2.95%,1.07,1.30%,1.38%,0.22%,2.98%,-2.69%,3.17%,-3.55%,12.18%,53.81,9.76
HCN,"Health Care REIT, Inc.",Financial,REIT - Healthcare Facilities,USA,178.73,54.2,32.79,6.68,1.86,109.76,13.63,4.81%,686.70%,0.37,-79.20%,25.77%,-35.70%,5.45%,45.10%,254.50%,27.30%,0.60%,1.20%,2.60%,57.60%,21.60%,4.20%,3.80%,16.86%,14.55%,0.48,1.00%,1.23%,4.81%,12.62%,-1.18%,9.02%,-1.18%,31.17%,70.49,66.13
HCP,"HCP, Inc.",Financial,REIT - Healthcare Facilities,USA,21.34,19.78,6.88,9.05,1.8,358.32,,5.16%,67.50%,1.98,9.50%,3.54%,21.20%,3.10%,12.90%,4.30%,4.70%,7.20%,13.50%,6.50%,85.70%,60.50%,67.50%,1.68%,14.69%,10.57%,0.55,1.07%,1.16%,2.74%,9.28%,-1.56%,7.13%,-1.56%,23.91%,62.41,42.25
HD,"The Home Depot, Inc.",Services,Home Improvement Stores,USA,23.22,17.78,1.43,1.57,10.24,49.58,32.86,2.07%,41.50%,3.92,25.30%,16.13%,22.40%,16.23%,2.00%,20.50%,2.90%,13.10%,40.80%,22.30%,34.80%,11.80%,7.00%,15.64%,18.27%,25.71%,1.03,1.96%,1.30%,11.85%,15.03%,-0.85%,17.08%,-0.85%,28.16%,85.7,91.03
HDS,"HD Supply Holdings, Inc.",Services,Industrial Equipment Wholesale,USA,,13.91,,0.64,,31.7,,,,-0.51,86.40%,54.29%,32.30%,67.60%,0.70%,99.00%,5.50%,-1.50%,13.40%,7.10%,29.20%,6.00%,-1.20%,9.11%,26.49%,20.09%,,2.55%,2.35%,3.27%,13.77%,-3.28%,11.41%,-4.01%,43.38%,66.39,28.03
